Ticker,close,ret_1w,ret_1m,ret_3m,ret_6m,vol_6m,ema_3,ema_5,ema_8,ema_15,ema_20,ema_21,signal_3_8,spread_3_8_pct,signal_5_15,spread_5_15_pct,signal_5_20,spread_5_20_pct,signal_8_21,spread_8_21_pct,bullish_count,bearish_count,neutral_count,bullish_ratio,bearish_ratio,neutral_ratio,ensemble_score,avg_ema_spread_pct,upside_strength_pct,downside_strength_pct,Signal
OFSS.NS,7931.0,0.10698583292623343,0.2584893684544589,0.053113796308591255,-0.11385474860335199,0.3014706914558413,7931.541107332564,7831.39892811724,7679.619653199629,7421.3708519633155,7307.924637293262,7290.661993124192,1,3.2803897264361837,1,5.524964111521946,1,7.1631046679466515,1,5.33501155920082,4,0,0,1.0,0.0,0.0,1.0,5.3258675162764,5.3258675162764,0.0,Upside
PGEL.NS,562.1500244140625,0.1546677978156097,0.07311262798275386,-0.042823027583541284,-0.012125408543084748,0.4826543412948225,557.7807390687051,548.4764554795124,535.5386230161707,522.1143212959778,521.1152609914767,521.3264025259803,1,4.153223520512128,1,5.049111489242297,1,5.250507236341173,1,2.7261654927370094,4,0,0,1.0,0.0,0.0,1.0,4.2947519347081515,4.2947519347081515,0.0,Upside
PIIND.NS,3021.300048828125,0.03846159010118577,0.04434844411618566,-0.08100135146360266,-0.15012656854342477,0.26447985002962215,3042.848476311695,3035.9002523111444,3010.717422182595,2971.0239779422755,2962.2485196445286,2961.755120901462,1,1.0672225128921964,1,2.18363348295163,1,2.486345496611264,1,1.6531515700133337,4,0,0,1.0,0.0,0.0,1.0,1.847588265617106,1.847588265617106,0.0,Upside
PNBHOUSING.NS,979.0999755859376,0.1564400252200302,0.2553368299530683,0.004205103165064283,0.161309457309174,0.36867742275377186,941.2816116135934,921.5401376053932,900.3344505557436,869.2354265306675,856.7937167524942,854.9742974804761,1,4.547994473895178,1,6.0173239007856205,1,7.556827225380158,1,5.305440550545115,4,0,0,1.0,0.0,0.0,1.0,5.856896537651518,5.856896537651518,0.0,Upside
PATANJALI.NS,468.1000061035156,0.0173875242205499,-0.03772228480587314,-0.1388096468810599,-0.1979094836297326,0.23284393125800612,465.5483641138984,465.22480291575187,465.53460869675115,468.3181477333397,471.23569845135165,471.8586653363946,1,0.0029547571523735883,-1,-0.6605220900705255,-1,-1.2755603099157686,-1,-1.3402438281248763,1,3,0,0.25,0.75,0.0,-0.75,-0.8183428677396992,0.0007386892880933971,0.8190815570277926,Downside
PERSISTENT.NS,5329.89990234375,-0.00883326530714168,0.17673422970308938,-0.15047817941604236,-0.0014987163128050707,0.3133748633042717,5360.988679528056,5378.494706991879,5367.0928505438815,5284.759455307425,5238.804404465715,5232.378301169805,-1,-0.1137332851472217,1,1.7736900321984717,1,2.6664538650667646,1,2.574633209222621,3,1,0,0.75,0.25,0.0,0.75,1.7252609553351588,1.7536942766219643,0.028433321286805424,Upside
PETRONET.NS,277.7799987792969,0.050049103374572246,-0.03448040600256608,-0.029589523915120042,0.0033591936396666355,0.343720180612914,274.8475225595189,273.1636541629852,271.00572016901606,269.00135167094516,269.5465998649668,269.75015758118167,1,1.417609336108061,1,1.5473165715284454,1,1.341903143957457,1,0.4654538848439804,4,0,0,1.0,0.0,0.0,1.0,1.193070734109486,1.193070734109486,0.0,Upside
PIDILITIND.NS,1407.800048828125,0.061289143481436215,0.037435555510777485,-0.058516684441945355,-0.05592804718902722,0.23462783689084107,1392.1984196113212,1379.276306402588,1366.3039285027057,1355.2755928682247,1356.3192395776236,1356.9699384278251,1,1.8952218879288774,1,1.7709101868771615,1,1.6926005438154368,1,0.6878553319828784,4,0,0,1.0,0.0,0.0,1.0,1.5116469876510885,1.5116469876510885,0.0,Upside
PPLPHARMA.NS,150.80999755859375,0.029630615837512364,0.08457385332522249,-0.1024283182460003,-0.21559345947869313,0.29570268082125073,149.61228092854748,148.7610821670186,147.60891447399652,146.11359559791623,146.00242553073014,146.0448782873327,1,1.3572123754787668,1,1.8119371837155285,1,1.8894594567593792,1,1.07092847418222,4,0,0,1.0,0.0,0.0,1.0,1.5323843725339736,1.5323843725339736,0.0,Upside
POLYCAB.NS,7955.5,0.05398781134075259,0.11009558361822358,0.08629753533146722,0.04567560462670883,0.3359979771537092,8024.3698274085555,7967.977207811349,7855.782612040417,7682.017708700844,7628.856860478673,7622.192965920415,1,2.146026993029926,1,3.722453005889581,1,4.445231487950574,1,3.0645989568147236,4,0,0,1.0,0.0,0.0,1.0,3.344577610921201,3.344577610921201,0.0,Upside
PFC.NS,471.1000061035156,0.08661058555600265,0.12689874327544692,0.26690869571618503,0.1836683570440092,0.3076551422178276,467.8984555272002,461.60369560218487,452.5871853400035,438.59537412391376,432.64885359455474,431.6859419999214,1,3.383054289461196,1,5.2459106583670145,1,6.692457813551589,1,4.8417706732006405,4,0,0,1.0,0.0,0.0,1.0,5.040798358645111,5.040798358645111,0.0,Upside
POWERGRID.NS,319.3500061035156,0.06325952926217582,0.06984926667844427,0.2361137940268352,0.11078262992527166,0.22033654945612277,318.01601485372237,315.3888434844729,311.84683455715634,306.8854560097687,304.8122063903548,304.45984139063637,1,1.9782725405331325,1,2.770866884755052,1,3.4698863340706376,1,2.4262619111865336,4,0,0,1.0,0.0,0.0,1.0,2.6613219176363385,2.6613219176363385,0.0,Upside
PREMIERENE.NS,995.7000122070312,0.02227927331317381,0.22744082529307352,0.36696867023583635,-0.05799431200848515,0.3880335771015683,1004.0281187359805,1001.071547561037,990.7399721889115,961.2884840543619,941.3693220814682,937.6882584615198,1,1.341234523697521,1,4.138514521560155,1,6.342061938831911,1,5.6577133443511896,4,0,0,1.0,0.0,0.0,1.0,4.3698810821101945,4.3698810821101945,0.0,Upside
PRESTIGE.NS,1402.699951171875,0.07527784681630889,0.10815286440530225,-0.064991335873678,-0.1252806381477536,0.33226284108537646,1380.7503734338445,1364.1570272127437,1342.0401571171633,1311.7163564887132,1305.771430999545,1305.6118010202458,1,2.884430552349082,1,3.997866647360193,1,4.471348876771319,1,2.790136859091752,4,0,0,1.0,0.0,0.0,1.0,3.5359457338930866,3.5359457338930866,0.0,Upside
PNB.NS,114.11000061035156,0.03052467399032488,0.0188392911638533,-0.11322655565926576,-0.010063298515123886,0.3056771923801576,113.88500528787691,113.383544024868,112.50394233875289,111.5601825075802,111.72242638818555,111.80073793910582,1,1.2275684926360997,1,1.6344196256257604,1,1.4868256001805857,1,0.6289801056859723,4,0,0,1.0,0.0,0.0,1.0,1.2444484560321045,1.2444484560321045,0.0,Upside
RBLBANK.NS,320.3999938964844,0.013603251217782608,0.07625119577248918,0.026923057360526803,0.09914234612859141,0.3202130521723068,318.6873337148219,318.0528895708262,316.87035501502464,313.7627693342974,312.27025901955716,312.0418753628038,1,0.5734139123589221,1,1.3673133513039337,1,1.8518031686478587,1,1.547381948851223,4,0,0,1.0,0.0,0.0,1.0,1.3349780952904844,1.3349780952904844,0.0,Upside
RECLTD.NS,383.3500061035156,0.104755060817048,0.13517913083022215,0.03636121200779363,0.03524174595305585,0.3089702539053916,378.61238336992227,372.47290247917385,364.74221886917474,353.89078524480965,350.1446777762654,349.6406531017732,1,3.802730746045735,1,5.250805618323673,1,6.376856802368902,1,4.319167589189288,4,0,0,1.0,0.0,0.0,1.0,4.937390188981899,4.937390188981899,0.0,Upside
RVNL.NS,298.8599853515625,0.09959886660869088,0.11598207148374673,-0.11658292653689806,-0.10265727032074679,0.39633095949050695,297.24151063545935,293.959927207488,289.0308009622817,282.42076038671394,281.0591837425379,281.00248867686327,1,2.8407732483324954,1,4.0858068666671965,1,4.590045161722145,1,2.8570253321316796,4,0,0,1.0,0.0,0.0,1.0,3.593412652213379,3.593412652213379,0.0,Upside
RELIANCE.NS,1353.300048828125,0.029047276976161163,-0.03169714639798071,-0.0723197131586848,-0.01642559113552089,0.22008278654242416,1355.5581815793366,1352.7992224429552,1350.408256268726,1353.4043516087827,1358.0365775430005,1359.0321192311542,1,0.38136062088662825,-1,-0.04471163145797208,-1,-0.38565640916100596,-1,-0.6345591719573829,1,3,0,0.25,0.75,0.0,-0.75,-0.17089164792243317,0.09534015522165706,0.26623180314409023,Downside
